iso,unix,eui,x,y,z,dx,dy,dz,ecef_x,ecef_y,ecef_z,wgs84_lat,wgs84_lon,wgs84_alt,wgs84_heading,wgs84_speed
2016-08-18_18-42-08,1471545728.156453,deca010000000008,0.172,-2.459,-0.293,-0.362,-0.285,-0.559,51.491450554180,7.412212920291,-0.293,266.966,0.048
2016-08-18_18-42-08,1471545728.260695,deca010000000008,0.156,-2.481,-0.359,-0.339,-0.278,-0.566,51.491450476617,7.412212541164,-0.359,265.819,0.046
2016-08-18_18-42-08,1471545728.264861,deca010000000007,0.134,-0.073,0.129,-0.023,-0.012,0.031,51.491468274193,7.412232271902,0.129,276.933,0.005
2016-08-18_18-42-08,1471545728.317597,deca010000000008,0.153,-2.482,-0.376,-0.323,-0.263,-0.552,51.491450488489,7.412212502261,-0.376,266.017,0.024
2016-08-18_18-42-08,1471545728.329548,deca010000000007,0.143,-0.069,0.135,-0.014,-0.008,0.037,51.491468260975,7.412232403561,0.135,275.691,0.001
2016-08-18_18-42-08,1471545728.449929,deca010000000008,0.128,-2.497,-0.434,-0.310,-0.247,-0.544,51.491450509499,7.412212089356,-0.434,266.631,0.052
2016-08-18_18-42-08,1471545728.457930,deca010000000007,0.145,-0.070,0.126,-0.011,-0.008,0.027,51.491468247000,7.412232421572,0.126,268.377,0.002
2016-08-18_18-42-08,1471545728.569640,deca010000000007,0.148,-0.064,0.117,-0.006,-0.001,0.013,51.491468275545,7.412232506854,0.117,295.299,0.001
2016-08-18_18-42-08,1471545728.586311,deca010000000008,0.138,-2.474,-0.427,-0.295,-0.221,-0.529,51.491450620262,7.412212390072,-0.427,268.368,0.050
2016-08-18_18-42-08,1471545728.695087,deca010000000007,0.136,-0.057,0.102,-0.017,0.006,-0.001,51.491468389175,7.412232423147,0.102,325.239,0.002
2016-08-18_18-42-08,1471545728.695087,deca010000000008,0.149,-2.455,-0.421,-0.285,-0.203,-0.524,51.491450703098,7.412212676866,-0.421,269.782,0.038
2016-08-18_18-42-08,1471545728.753114,deca010000000007,0.132,-0.060,0.112,-0.021,0.003,0.008,51.491468390590,7.412232354392,0.112,313.923,0.001
2016-08-18_18-42-08,1471545728.818421,deca010000000008,0.139,-2.455,-0.415,-0.278,-0.189,-0.489,51.491450760226,7.412212565593,-0.415,270.913,0.041
